"","state","year","totalprecip","Area","preciparea"
"88","Kentucky",2019,2339.03,39650,0.0589919293820933
"89","Kentucky",2020,2273.45,39650,0.0573379571248424
"90","Kentucky",2021,2164.86,39650,0.0545992433795713
"91","Louisiana",2016,5123.35,44930,0.114029601602493
"92","Louisiana",2017,4348.16,44930,0.0967763187180058
"93","Louisiana",2018,4513.04,44930,0.10044602715335
"94","Louisiana",2019,4397.55,44930,0.0978755842421545
"95","Louisiana",2020,4112.28,44930,0.0915263743601157
"96","Louisiana",2021,4517.24,44930,0.100539505898064
"97","Maine",2016,1905.6,30920,0.0616300129366106
"98","Maine",2017,1365.61,30920,0.0441659120310479
"99","Maine",2018,1168.3,30920,0.0377846054333765
"100","Maine",2019,1227.28,30920,0.0396921086675291
"101","Maine",2020,1093.88,30920,0.0353777490297542
"102","Maine",2021,1081.45,30920,0.03497574385511
"103","Maryland",2016,778.11,9891,0.0786684865028814
"104","Maryland",2017,1177.06,9891,0.11900313416237
"105","Maryland",2018,1483.09,9891,0.149943382873319
"106","Maryland",2019,870.93,9891,0.0880527752502275
"107","Maryland",2020,1182.39,9891,0.119542007885957
"108","Maryland",2021,902.23,9891,0.0912172682236377
"109","Massachusetts",2016,1553.87,7826,0.198552261691797
"110","Massachusetts",2017,1550.43,7826,0.198112701252236
"111","Massachusetts",2018,2075.92,7826,0.26525939177102
"112","Massachusetts",2019,1885.8,7826,0.240966010733453
"113","Massachusetts",2020,1488.21,7826,0.190162279580884
"114","Massachusetts",2021,2036.36,7826,0.260204446716075
"115","Michigan",2016,2822.61,56817,0.0496789693225619
"116","Michigan",2017,2686.67,56817,0.0472863755566116
"117","Michigan",2018,2658.67,56817,0.0467935653061584
"118","Michigan",2019,3003.12,56817,0.0528560114050372
"119","Michigan",2020,2683.15,56817,0.0472244222679832
"120","Michigan",2021,2641.77,56817,0.0464961191192777
"121","Minnesota",2016,4507.48,79289,0.0568487432052365
"122","Minnesota",2017,3096.53,79289,0.0390537148910946
"123","Minnesota",2018,2909.94,79289,0.0367004250274313
"124","Minnesota",2019,3489.24,79289,0.0440066087351335
"125","Minnesota",2020,3190.22,79289,0.0402353415984563
"126","Minnesota",2021,3132.57,79289,0.0395082546128719
"127","Mississippi",2016,2176.95,47296,0.0460282053450609
"128","Mississippi",2017,3808.7,47296,0.0805290087956698
"129","Mississippi",2018,2559.83,47296,0.0541236045331529
"130","Mississippi",2019,3367.68,47296,0.0712043301759134
"131","Mississippi",2020,4209.17,47296,0.0889963210419486
"132","Mississippi",2021,3961.02,47296,0.0837495771312585
"133","Missouri",2016,2732.93,68995,0.0396105514892383
"134","Missouri",2017,2269.51,68995,0.0328938328864411
"135","Missouri",2018,2150.43,68995,0.031167910718168
"136","Missouri",2019,2781.61,68995,0.0403161098630336
"137","Missouri",2020,2270.81,68995,0.0329126748315095
"138","Missouri",2021,2180.14,68995,0.0315985216320023
"139","Montana",2016,1839.23,145587,0.012633202140301
"140","Montana",2017,536.6,145587,0.00368576864692589
"141","Montana",2018,666.47,145587,0.00457781257941987
"142","Montana",2019,695.87,145587,0.00477975368679896
"143","Montana",2020,509.87,145587,0.00350216708909449
"144","Montana",2021,466.51,145587,0.00320433829943608
"145","Nebraska",2016,1838.51,76483,0.0240381522691317
"146","Nebraska",2017,1800.04,76483,0.0235351646771178
"147","Nebraska",2018,1907.68,76483,0.0249425362498856
"148","Nebraska",2019,2007.47,76483,0.0262472706353046
"149","Nebraska",2020,1035.02,76483,0.0135326804649399
"150","Nebraska",2021,1515.97,76483,0.019821005975184
"151","Nevada",2016,208.45,109889,0.001896914158833
"152","Nevada",2017,188.08,109889,0.00171154528660739
"153","Nevada",2018,213.87,109889,0.00194623665699024
"154","Nevada",2019,244.95,109889,0.00222906751358189
"155","Nevada",2020,93.2,109889,0.000848128566098518
"156","Nevada",2021,167.52,109889,0.00152444739691871
"157","New Hampshire",2016,1152.22,9027,0.12764151988479
"158","New Hampshire",2017,774.28,9027,0.0857737897418854
"159","New Hampshire",2018,916.66,9027,0.101546471696023
"160","New Hampshire",2019,813.94,9027,0.090167275949928
"161","New Hampshire",2020,657.45,9027,0.0728315054835494
"162","New Hampshire",2021,837.45,9027,0.0927716849451645
"163","New Jersey",2016,2392.31,7521,0.318084031378806
"164","New Jersey",2017,1147.81,7521,0.15261401409387
"165","New Jersey",2018,1570.02,7521,0.208751495811727
"166","New Jersey",2019,1302.56,7521,0.173189735407526
"167","New Jersey",2020,1361.58,7521,0.181037096130834
"168","New Jersey",2021,1285.47,7521,0.170917431192661
"169","New Mexico",2016,816.23,121412,0.00672281158369848
"170","New Mexico",2017,709.98,121412,0.00584769215563536
"171","New Mexico",2018,572.82,121412,0.00471798504266465
"172","New Mexico",2019,561.67,121412,0.00462614898033143
"173","New Mexico",2020,950.02,121412,0.00782476196751557
"174","New Mexico",2021,674.99,121412,0.00555949988469015
"175","New York",2016,7731.51,47831,0.161642240388033
"176","New York",2017,31062.42,47831,0.649420250465179
"177","New York",2018,19453.65,47831,0.406716355501662
"178","New York",2019,2686.12,47831,0.0561585582571972
"179","New York",2020,2104.42,47831,0.0439969894001798
"180","New York",2021,2614.34,47831,0.0546578578746002
"181","North Carolina",2016,5103.7,48798,0.104588302799295
"182","North Carolina",2017,4642.47,48798,0.0951364810033198
"183","North Carolina",2018,5887.68,48798,0.120654125169064
"184","North Carolina",2019,4486.78,48798,0.09194598139268
"185","North Carolina",2020,6968.31,48798,0.142799090126645
"186","North Carolina",2021,4878.87,48798,0.0999809418418788
"187","North Dakota",2016,8930.92,69273,0.128923534421781
"188","North Dakota",2017,597.75,69273,0.00862890303581482
"189","North Dakota",2018,334.14,69273,0.0048235243168334
"190","North Dakota",2019,488.33,69273,0.00704935544873183
"191","North Dakota",2020,234.82,69273,0.00338977668066924
"192","North Dakota",2021,359.37,69273,0.00518773548135637
"193","Ohio",2016,2266.52,40975,0.0553147040878584
"194","Ohio",2017,2958.71,40975,0.072207687614399
"195","Ohio",2018,2931.11,40975,0.0715341061622941
"196","Ohio",2019,2766.89,40975,0.0675262965222697
"197","Ohio",2020,2799.17,40975,0.0683140939597316
"198","Ohio",2021,2553.85,40975,0.062327028676022
"199","Oklahoma",2016,2267.01,68782,0.0329593498298974
"200","Oklahoma",2017,3031.91,68782,0.044079991858335
"201","Oklahoma",2018,2890.05,68782,0.0420175336570614
"202","Oklahoma",2019,3174.31,68782,0.0461503009508302
"203","Oklahoma",2020,2858.89,68782,0.0415645081562037
"204","Oklahoma",2021,2423.73,68782,0.0352378529266378
"205","Oregon",2016,1704.99,96184,0.0177263370207103
"206","Oregon",2017,1596.68,96184,0.0166002661565333
"207","Oregon",2018,1227.92,96184,0.0127663644681028
"208","Oregon",2019,1326.23,96184,0.0137884679364551
"209","Oregon",2020,1353.46,96184,0.0140715711552857
"210","Oregon",2021,1401.23,96184,0.0145682234051401
"211","Pennsylvania",2016,2168.58,44966,0.0482271049237201
"212","Pennsylvania",2017,4335.98,44966,0.0964279677978918
"213","Pennsylvania",2018,3474.8,44966,0.0772761642129609
"214","Pennsylvania",2019,2753.4,44966,0.0612329315482809
"215","Pennsylvania",2020,2442.7,44966,0.0543232664679981
"216","Pennsylvania",2021,2822.08,44966,0.0627603077881066
"217","Rhode Island",2016,292.85,1049,0.279170638703527
"218","Rhode Island",2017,365.25,1049,0.348188751191611
"219","Rhode Island",2018,501.85,1049,0.478408007626311
"220","Rhode Island",2019,496.58,1049,0.473384175405148
"221","Rhode Island",2020,349.96,1049,0.333612964728313
"222","Rhode Island",2021,330.36,1049,0.314928503336511
"223","South Carolina",2016,2607.19,30225,0.0862593879239041
"224","South Carolina",2017,2707.6,30225,0.0895814722911497
"225","South Carolina",2018,3082.45,30225,0.101983457402812
"226","South Carolina",2019,2259.87,30225,0.0747682382133995
"227","South Carolina",2020,3526.63,30225,0.116679239040529
"228","South Carolina",2021,2624.63,30225,0.0868363937138131
"229","South Dakota",2016,928.11,75955,0.0122192087420183
"230","South Dakota",2017,702.88,75955,0.0092539003357251
"231","South Dakota",2018,1292.49,75955,0.0170165229412152
"232","South Dakota",2019,1721.95,75955,0.0226706602593641
"233","South Dakota",2020,2445.47,75955,0.0321963004410506
"234","South Dakota",2021,1455.86,75955,0.0191674017510368
"235","Tennessee",2016,989.93,41328,0.0239530100658149
"236","Tennessee",2017,1289.6,41328,0.0312040263259775
"237","Tennessee",2018,1470.51,41328,0.0355814459930314
"238","Tennessee",2019,1632.87,41328,0.0395100174216028
"239","Tennessee",2020,1549.72,41328,0.0374980642663569
"240","Tennessee",2021,1371.68,41328,0.0331900890437476
"241","Texas",2016,10172.16,262134,0.0388051912380691
"242","Texas",2017,9302.1,262134,0.0354860491199158
"243","Texas",2018,10667.1,262134,0.0406933095287143
"244","Texas",2019,8815.39,262134,0.0336293269854349
"245","Texas",2020,8465.53,262134,0.0322946660868106
"246","Texas",2021,8606.4,262134,0.0328320629906842
"247","Utah",2016,254.39,82096,0.00309868933931008
"248","Utah",2017,233.19,82096,0.00284045507698304
"249","Utah",2018,200.73,82096,0.00244506431494835
"250","Utah",2019,334.7,82096,0.00407693432079517
"251","Utah",2020,146.69,82096,0.00178681056324303
"252","Utah",2021,287.39,82096,0.00350065776651725
"253","Vermont",2016,375.18,9267,0.0404855940433797
"254","Vermont",2017,503.89,9267,0.0543746627819143
"255","Vermont",2018,505.4,9267,0.0545376065609151
"256","Vermont",2019,553.4,9267,0.0597172763569656
"257","Vermont",2020,430.91,9267,0.0464994064961692
"258","Vermont",2021,441.05,9267,0.0475936117405849
"259","Virginia",2016,3493,39780,0.0878079436902966
"260","Virginia",2017,3124.44,39780,0.0785429864253394
"261","Virginia",2018,4775.73,39780,0.120053544494721
"262","Virginia",2019,3405.89,39780,0.0856181498240322
"263","Virginia",2020,4501.06,39780,0.11314881850176
"264","Virginia",2021,3097.85,39780,0.0778745600804424
"265","Washington",2016,1709.85,66570,0.0256849932401983
"266","Washington",2017,1831.62,66570,0.0275141955835962
"267","Washington",2018,1703.86,66570,0.0255950127685143
"268","Washington",2019,1241.95,66570,0.0186563016373742
"269","Washington",2020,1529.91,66570,0.0229819738621
"270","Washington",2021,1601.3,66570,0.0240543788493315
"271","West Virginia",2016,1045.65,24070,0.0434420440382219
"272","West Virginia",2017,1111.47,24070,0.0461765683423349
"273","West Virginia",2018,1422.4,24070,0.059094308267553
"274","West Virginia",2019,1046.21,24070,0.0434653095139177
"275","West Virginia",2020,1062.69,24070,0.0441499792272538
"276","West Virginia",2021,1014.51,24070,0.0421483174075613
"277","Wisconsin",2016,3309.76,54464,0.0607696827262045
"278","Wisconsin",2017,3095.75,54464,0.0568402981786134
"279","Wisconsin",2018,3402.96,54464,0.0624809048178613
"280","Wisconsin",2019,3292.78,54464,0.0604579171562867
"281","Wisconsin",2020,2803.67,54464,0.0514774897179789
"282","Wisconsin",2021,2364.9,54464,0.0434213425381904
"283","Wyoming",2016,3317.93,97203,0.0341340287851198
"284","Wyoming",2017,708.87,97203,0.00729267615197062
"285","Wyoming",2018,761.81,97203,0.00783730954805922
"286","Wyoming",2019,814.55,97203,0.00837988539448371
"287","Wyoming",2020,410.19,97203,0.00421993148359619
"288","Wyoming",2021,583.88,97203,0.00600681048938819
